Date,Day of Week
2/4/22,Friday
2/5/22,Saturday
2/6/22,Sunday
2/7/22,Monday
2/8/22,Tuesday
2/9/22,Wednesday
2/10/22,Thursday
2/11/22,Friday
2/12/22,Saturday
2/13/22,Sunday
2/14/22,Monday
2/15/22,Tuesday
2/16/22,Wednesday
2/17/22,Thursday
2/18/22,Friday
2/19/22,Saturday
2/20/22,Sunday
2/21/22,Monday
2/22/22,Tuesday
2/23/22,Wednesday
2/24/22,Thursday
2/25/22,Friday
2/26/22,Saturday
2/27/22,Sunday
2/28/22,Monday
3/1/22,Tuesday
3/2/22,Wednesday
3/3/22,Thursday
3/4/22,Friday
3/5/22,Saturday
3/6/22,Sunday
3/7/22,Monday
3/8/22,Tuesday
3/9/22,Wednesday
3/10/22,Thursday
3/11/22,Friday
3/12/22,Saturday
3/13/22,Sunday
3/14/22,Monday
3/15/22,Tuesday
3/16/22,Wednesday
3/17/22,Thursday
3/18/22,Friday
3/19/22,Saturday
3/20/22,Sunday
3/21/22,Monday
3/22/22,Tuesday
3/23/22,Wednesday
3/24/22,Thursday
3/25/22,Friday
3/26/22,Saturday
3/27/22,Sunday
3/28/22,Monday
3/29/22,Tuesday
3/30/22,Wednesday
3/31/22,Thursday
4/1/22,Friday
4/2/22,Saturday
4/3/22,Sunday
4/4/22,Monday
4/5/22,Tuesday
4/6/22,Wednesday
4/7/22,Thursday
4/8/22,Friday
4/9/22,Saturday
4/10/22,Sunday
4/11/22,Monday
4/12/22,Tuesday
4/13/22,Wednesday
4/14/22,Thursday
4/15/22,Friday
4/16/22,Saturday
4/17/22,Sunday
4/18/22,Monday
4/19/22,Tuesday
4/20/22,Wednesday
4/21/22,Thursday
4/22/22,Friday
4/23/22,Saturday
4/24/22,Sunday
4/25/22,Monday
4/26/22,Tuesday
4/27/22,Wednesday
4/28/22,Thursday
4/29/22,Friday
4/30/22,Saturday
5/1/22,Sunday
5/2/22,Monday
5/3/22,Tuesday
5/4/22,Wednesday
5/5/22,Thursday
5/6/22,Friday
5/7/22,Saturday
5/8/22,Sunday
5/9/22,Monday
5/10/22,Tuesday
5/11/22,Wednesday
5/12/22,Thursday
5/13/22,Friday
5/14/22,Saturday
5/15/22,Sunday
5/16/22,Monday
5/17/22,Tuesday
5/18/22,Wednesday
5/19/22,Thursday
5/20/22,Friday
5/21/22,Saturday
5/22/22,Sunday
5/23/22,Monday
5/24/22,Tuesday
5/25/22,Wednesday
5/26/22,Thursday
5/27/22,Friday
5/28/22,Saturday
5/29/22,Sunday
5/30/22,Monday
5/31/22,Tuesday
6/1/22,Wednesday
6/2/22,Thursday
6/3/22,Friday
6/4/22,Saturday
6/5/22,Sunday
6/6/22,Monday
6/7/22,Tuesday
6/8/22,Wednesday
6/9/22,Thursday
6/10/22,Friday
6/11/22,Saturday
6/12/22,Sunday
6/13/22,Monday
6/14/22,Tuesday
6/15/22,Wednesday
6/16/22,Thursday
6/17/22,Friday
6/18/22,Saturday
6/19/22,Sunday
6/20/22,Monday
6/21/22,Tuesday
6/22/22,Wednesday
6/23/22,Thursday
6/24/22,Friday
6/25/22,Saturday
6/26/22,Sunday
6/27/22,Monday
6/28/22,Tuesday
6/29/22,Wednesday
6/30/22,Thursday
7/1/22,Friday
7/2/22,Saturday
7/3/22,Sunday
7/4/22,Monday
7/5/22,Tuesday
7/6/22,Wednesday
7/7/22,Thursday
7/8/22,Friday
7/9/22,Saturday
7/10/22,Sunday
7/11/22,Monday
7/12/22,Tuesday
7/13/22,Wednesday
7/14/22,Thursday
7/15/22,Friday
7/16/22,Saturday
7/17/22,Sunday
7/18/22,Monday
7/19/22,Tuesday
7/20/22,Wednesday
7/21/22,Thursday
7/22/22,Friday
7/23/22,Saturday
7/24/22,Sunday
7/25/22,Monday
7/26/22,Tuesday
7/27/22,Wednesday
7/28/22,Thursday
7/29/22,Friday
7/30/22,Saturday
7/31/22,Sunday
8/1/22,Monday
8/2/22,Tuesday
8/3/22,Wednesday
8/4/22,Thursday
8/5/22,Friday
8/6/22,Saturday
8/7/22,Sunday
8/8/22,Monday
8/9/22,Tuesday
8/10/22,Wednesday
8/11/22,Thursday
8/12/22,Friday
8/13/22,Saturday
8/14/22,Sunday
8/15/22,Monday
8/16/22,Tuesday
8/17/22,Wednesday
8/18/22,Thursday
8/19/22,Friday
8/20/22,Saturday
8/21/22,Sunday
8/22/22,Monday
8/23/22,Tuesday
8/24/22,Wednesday
8/25/22,Thursday
8/26/22,Friday
8/27/22,Saturday
8/28/22,Sunday
8/29/22,Monday
8/30/22,Tuesday
8/31/22,Wednesday
9/1/22,Thursday
9/2/22,Friday
9/3/22,Saturday
9/4/22,Sunday
9/5/22,Monday
9/6/22,Tuesday
9/7/22,Wednesday
9/8/22,Thursday
9/9/22,Friday
9/10/22,Saturday
9/11/22,Sunday
9/12/22,Monday
9/13/22,Tuesday
9/14/22,Wednesday
9/15/22,Thursday
9/16/22,Friday
9/17/22,Saturday
9/18/22,Sunday
9/19/22,Monday
9/20/22,Tuesday
9/21/22,Wednesday
9/22/22,Thursday
9/23/22,Friday
9/24/22,Saturday
9/25/22,Sunday
9/26/22,Monday
9/27/22,Tuesday
9/28/22,Wednesday
